LatestNews-timestamp,title,link
41 Min Ago,Oil prices fall after Trump signals he could hold off on attacking Iran,https://www.cnbc.com/2026/01/14/oil-falls-nearly-2percent-after-trump-signals-he-could-hold-off-on-attacking-iran.html
47 Min Ago,Stellantis CEO: 2026 is the ‘year of execution’ amid turnaround plan,https://www.cnbc.com/2026/01/14/stellantis-ceo-turnaround-plan.html
59 Min Ago,Nvidia shares are stuck. How the AI juggernaut can break out of its funk,https://www.cnbc.com/2026/01/14/nvidia-shares-are-struggling-how-the-ai-juggernaut-can-can-break-its-funk.html
1 Hour Ago,China's ban on cybersecurity software roils three of our stocks — here's our view,https://www.cnbc.com/2026/01/14/chinas-ban-on-cybersecurity-software-roils-three-stocks-our-view.html
1 Hour Ago,Cerebras scores OpenAI deal worth over $10 billion ahead of AI chipmaker's IPO,https://www.cnbc.com/2026/01/14/cerebras-scores-openai-deal-worth-over-10-billion.html
1 Hour Ago,"Tax refunds are set to rise in 2026, and these stocks could benefit, Wolfe says",https://www.cnbc.com/2026/01/14/tax-refunds-set-to-rise-in-2026-and-these-stocks-may-benefit-wolfe-says.html
1 Hour Ago,"Under threat from Trump, banks wager they can fend off credit card price controls",https://www.cnbc.com/2026/01/14/trump-credit-card-cap-banks-fend-off-controls.html
2 Hours Ago,She quit policy career to start business—now the wealthy buy $175K dogs from her,https://www.cnbc.com/2026/01/14/svalinn-founder-how-i-built-a-business-selling-protection-dogs-to-the-wealthy.html
2 Hours Ago,Wells Fargo was hot into earnings and paid the price. We still hiked our price target,https://www.cnbc.com/2026/01/14/wells-fargo-was-hot-into-earnings-and-paid-the-price-why-we-still-hiked-our-price-target.html
2 Hours Ago,"Financial stocks have another rough day, while two sectors buck market slump",https://www.cnbc.com/2026/01/14/financials-have-another-rough-day-while-two-sectors-buck-downward-trend.html
2 Hours Ago,Here's what a missed debt payment does to your credit score,https://www.cnbc.com/2026/01/14/what-a-missed-payment-does-to-your-credit-score.html
2 Hours Ago,Workers are officially burned out by the thought of getting a new job,https://www.cnbc.com/2026/01/14/workers-are-officially-burned-out-by-the-thought-of-getting-a-new-job.html
3 Hours Ago,"There's a big move higher brewing in the energy sector, according to the charts",https://www.cnbc.com/2026/01/14/theres-a-big-move-higher-brewing-in-the-energy-sector-according-to-the-charts.html
3 Hours Ago,"Trump, Denmark have 'fundamental disagreement' over Greenland, officials say",https://www.cnbc.com/2026/01/14/denmark-greenland-trump-white-house.html
3 Hours Ago,Elon Musk's xAI probed by California DOJ over Grok's deepfake explicit images,https://www.cnbc.com/2026/01/14/elon-musk-xai-california-grok-investigation.html
3 Hours Ago,"Google launches Personal Intelligence feature in Gemini app, challenging Apple",https://www.cnbc.com/2026/01/14/google-launches-personal-intelligence-in-gemini-app-challenging-apple.html
4 Hours Ago,"Why gold, silver are smashing records to start 2026 after last year's huge rally",https://www.cnbc.com/2026/01/14/why-gold-silver-are-smashing-records-to-start-2026-after-last-years-run.html
4 Hours Ago,We're booking profits in a stock looking to cash in on an investing craze,https://www.cnbc.com/2026/01/14/were-booking-profits-in-a-stock-looking-to-cash-in-on-a-hot-yet-unprofitable-investing-craze.html
4 Hours Ago,"Stocks making the biggest moves midday: Biogen, Rivian, Bank of America & more",https://www.cnbc.com/2026/01/14/stocks-making-the-biggest-moves-midday-biib-rivn-bac-abnb.html
4 Hours Ago,This portfolio stock may be on the chopping block if it doesn't deliver on earnings,https://www.cnbc.com/2026/01/14/this-portfolio-stock-may-be-on-the-chopping-block-if-it-doesnt-deliver-on-earnings.html
5 Hours Ago,Student loan borrowers in default may miss Trump's 'largest tax refund season',https://www.cnbc.com/2026/01/14/student-loans-default-tax-refunds-garnishment.html
5 Hours Ago,Sen. Warren says Trump called her to work on credit card interest rate caps,https://www.cnbc.com/2026/01/14/warren-trump-credit-card-interest-rate-affordability.html
5 Hours Ago,Musk says Tesla is moving Full Self-Driving to a monthly subscription,https://www.cnbc.com/2026/01/14/musk-tesla-full-self-driving-subscription-fsd.html
5 Hours Ago,"Airlines to save money as weight loss pills gain popularity, says Jefferies",https://www.cnbc.com/2026/01/14/airlines-to-save-on-fuel-as-weight-loss-pills-grow-popular-wall-street-says.html
5 Hours Ago,Senate expected to vote on Venezuela war powers resolution on Wednesday,https://www.cnbc.com/2026/01/14/senate-venezuela-war-powers-resolution-.html
5 Hours Ago,Why Exxon hit a record after Trump threatened to cut it out of Venezuela,https://www.cnbc.com/2026/01/14/xom-hit-a-record-after-trump-threatened-to-cut-it-out-of-venezuela-heres-why.html
6 Hours Ago,"2 ways parents can get kids off screens and living 'meaningful, fun lives'",https://www.cnbc.com/2026/01/14/author-how-to-get-kids-off-screens-and-living-meaningful-fun-lives.html
6 Hours Ago,Why the stock market keeps shrugging as Trump sows more political chaos,https://www.cnbc.com/2026/01/14/stock-market-investor-powell-fed-sell-america.html
6 Hours Ago,This cloud stock is primed to fall. This options trade makes money on potential declines,https://www.cnbc.com/2026/01/14/this-cloud-stock-is-primed-to-fall-this-options-trade-makes-money-on-potential-declines.html
6 Hours Ago,"These stocks could benefit most from AI productivity, Goldman Sachs says",https://www.cnbc.com/2026/01/14/these-stocks-could-benefit-most-from-ai-productivity-goldman-sachs-says.html
